model_id	outcome	term	estimate	std_error	p_value	ci_low	ci_high	n_obs	n_ids	r2	shock_quantile	weighted_ipw
main_change_cluster_ols_q0.975	delta_adl_per_year	adl5_lag	-0.23933340525363136	0.008050560652286591	3.261135582322344e-194	-0.2551122141874684	-0.22355459631979435	13285	5077	0.21436813702351376	0.975	0
main_change_cluster_ols_q0.975	delta_adl_per_year	core_disease_count_lag	0.0449714629747343	0.0037256304509385965	1.506020656275948e-33	0.03766936147118893	0.05227356447827967	13285	5077	0.21436813702351376	0.975	0
main_change_cluster_ols_q0.975	delta_adl_per_year	baseline_age	0.005872654992997665	0.0007513426866503945	5.4435933231986124e-15	0.0044000503871153285	0.007345259598880001	13285	5077	0.21436813702351376	0.975	0
main_change_cluster_ols_q0.975	delta_adl_per_year	sex	0.02154384433721578	0.008344369039453547	0.00982745010882656	0.005189181546175741	0.03789850712825582	13285	5077	0.21436813702351376	0.975	0
main_change_cluster_ols_q0.975	delta_adl_per_year	education_c	-0.016405077591938145	0.0021813355992387788	5.450151873065643e-14	-0.02068041680464125	-0.012129738379235042	13285	5077	0.21436813702351376	0.975	0
main_change_cluster_ols_q0.975	delta_adl_per_year	residence_rural_w1	0.029195895708795813	0.008379185412841987	0.0004933600783469837	0.012772994079842136	0.04561879733774949	13285	5077	0.21436813702351376	0.975	0
main_change_ipw_wls_q0.975	delta_adl_per_year	Intercept	-0.35896984868729076	0.0543023883701477	3.828378314225009e-11	-0.4654005741672869	-0.2525391232072946	13285	5077	0.21552795320771467	0.975	1
main_change_ipw_wls_q0.975	delta_adl_per_year	C(interval)[T.2013-2015]	0.07191308795194362	0.010046270126124924	8.175053162694793e-13	0.052222760325778106	0.09160341557810914	13285	5077	0.21552795320771467	0.975	1
main_change_ipw_wls_q0.975	delta_adl_per_year	C(interval)[T.2015-2018]	0.049739983792357785	0.00836350684065696	2.7266133799944295e-09	0.03334781160021577	0.0661321559844998	13285	5077	0.21552795320771467	0.975	1
main_change_ipw_wls_q0.975	delta_adl_per_year	log_oop_raw_lag	0.002016443977467409	0.0013004072811389296	0.12099158899007634	-0.0005323074587985457	0.004565195413733363	13285	5077	0.21552795320771467	0.975	1
main_change_ipw_wls_q0.975	delta_adl_per_year	oop_shock_q0_975_lag	0.02444841390878171	0.033196500337795413	0.46144128566567344	-0.040615531166069044	0.08951235898363245	13285	5077	0.21552795320771467	0.975	1
main_change_ipw_wls_q0.975	delta_adl_per_year	adl5_lag	-0.23866777934724878	0.008068496622112023	2.6860053780106924e-192	-0.2544817421359714	-0.22285381655852612	13285	5077	0.21552795320771467	0.975	1
main_change_ipw_wls_q0.975	delta_adl_per_year	core_disease_count_lag	0.045058432057101055	0.0037679663099667565	5.8759812497069106e-33	0.03767335379460593	0.05244351031959618	13285	5077	0.21552795320771467	0.975	1
main_change_ipw_wls_q0.975	delta_adl_per_year	baseline_age	0.005903093354132993	0.0007584544150368878	7.079315324734537e-15	0.004416550016745298	0.007389636691520688	13285	5077	0.21552795320771467	0.975	1
main_change_ipw_wls_q0.975	delta_adl_per_year	sex	0.021348634275625798	0.008425961668417041	0.011287390512188812	0.004834052870413372	0.037863215680838225	13285	5077	0.21552795320771467	0.975	1
main_change_ipw_wls_q0.975	delta_adl_per_year	education_c	-0.016465582833693256	0.002198861107141269	6.980737775437869e-14	-0.020775271410696013	-0.0121558942566905	13285	5077	0.21552795320771467	0.975	1
main_change_ipw_wls_q0.975	delta_adl_per_year	residence_rural_w1	0.02951795843114829	0.008470752685840048	0.0004927050671551246	0.012915588244955867	0.046120328617340715	13285	5077	0.21552795320771467	0.975	1
